Gene    Alligator_mississippiensis    Anolis_carolinensis    Anolis_sagrei    Arizona_elegans    Aspidocelis_marmoratus    Aspidocelis_tigris    Azemiops_feae    Boaedon_fuliginosus    Bothrops_jararaca    Bungarus_multicintus    Caretta_caretta    Charina_bottae    Crotalus_tigris    Cryptoblepharus_egeriae    Ctenosaura_bakeri    Cyclura_pinguis    Daboia_siamensis    Diadophis_punctatus    Elgaria_multicarinata    Eublepharis_macularius    Gekko_japonicus    Hemicordylus_capensis    Iguana_delicatissima    Imantodes_cenchoa    Lacerta_agilis    Lacerta_bilineata    Lacerta_viridis    Laticauda_colubrina    Lepidodactylus_listeri    Lerista_edwardsae    Morelia_viridis    Myanophis_thanlyinensis    Naja_naja    Ophiophagus_hannah    Pantherophis_guttatus    Paroedura_picta    Phrynocephalus_versicolor    Phrynosoma_blainvillii    Phrynosoma_platyrhinos    Pituophis_catenifer    Plestiodon_gilberti    Podarcis_muralis    Podarcis_raffonei    Pogona_vitticeps    Protobothrops_mucrosquamatus    Ptyas_mucosa    Salvator_merianae    Sceloporus_occidentalis    Sceloporus_tristichus    Shinisaurus_crocodilurus    Sphaerodactylus_townsendi    Sphenodon_punctatus    Thamnophis_elegans    Thermophis_baileyi    Varanus_komodoensis    Varanus_salvator    Vipera_latastei    Zootoca_vivipara
ATP5A1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5B    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5C1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5D    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5E    1    1    1    1    1    0    1    0    0    1    1    0    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    1
ATP5F1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5G    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5J2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5J    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0
ATP5L    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    0    1    1    1    1    0    1    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
ATP5O    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6B    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6D    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6E    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6G    0    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6H    1    1    1    1    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1
ATP6L    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6M    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6S14    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1
ATP6S1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6V0A2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
