Gene    Alligator_mississippiensis    Anolis_carolinensis    Anolis_sagrei    Arizona_elegans    Aspidocelis_tigris    Aspidoscelis_marmoratus    Azemiops_feae    Boaedon_fuliginosus    Bothrops_jararaca    Bungarus_multicintus    Caretta_caretta    Charina_bottae    Crotalus_tigris    Cryptoblepharus_egeriae    Ctenosaura_bakeri    Cyclura_pinguis    Daboia_siamensis    Diadophis_punctatus    Elgaria_multicarinata    Eublepharis_macularius    Gekko_japonicus    Hemicordylus_capensis    Iguana_delicatissima    Imantodes_cenchoa    Lacerta_agilis    Lacerta_bilineata    Lacerta_viridis    Laticauda_colubrina    Lepidodactylus_listeri    Lerista_edwardsae    Morelia_viridis    Myanophis_thanlyinensis    Naja_naja    Ophiophagus_hannah    Pantherophis_guttatus    Paroedura_picta    Phrynocephalus_versicolor    Phrynosoma_blainvillii    Phrynosoma_platyrhinos    Pituophis_catenifer    Plestiodon_gilberti    Podarcis_muralis    Podarcis_raffonei    Pogona_vitticeps    Protobothrops_mucrosquamatus    Ptyas_mucosa    Python_bivittatus    Salvator_merianae    Sceloporus_occidentalis    Sceloporus_tristichus    Shinisaurus_crocodilurus    Sphaerodactylus_townsendi    Sphenodon_punctatus    Thamnophis_elegans    Thermophis_baileyi    Varanus_komodoensis    Varanus_salvator    Vipera_latastei    Zootoca_vivipara
ATP6.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1
ATP8.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX2.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX3.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
CYTB.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NADH1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1
NADH2.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NADH3.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1
NADH4.fasta    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NADH4L.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NADH5.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NADH6.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1
