Gene    Alligator_mississippiensis    Anolis_carolinensis    Anolis_sagrei    Arizona_elegans    Aspidocelis_tigris    Aspidoscelis_marmoratus    Azemiops_feae    Boaedon_fuliginosus    Bothrops_jararaca    Bungarus_multicintus    Caretta_caretta    Charina_bottae    Crotalus_tigris    Cryptoblepharus_egeriae    Ctenosaura_bakeri    Cyclura_pinguis    Daboia_siamensis    Diadophis_punctatus    Elgaria_multicarinata    Eublepharis_macularius    Gekko_japonicus    Hemicordylus_capensis    Iguana_delicatissima    Imantodes_cenchoa    Lacerta_agilis    Lacerta_bilineata    Lacerta_viridis    Laticauda_colubrina    Lepidodactylus_listeri    Lerista_edwardsae    Morelia_viridis    Myanophis_thanlyinensis    Naja_naja    Ophiophagus_hannah    Pantherophis_guttatus    Paroedura_picta    Phrynocephalus_versicolor    Phrynosoma_blainvillii    Phrynosoma_platyrhinos    Pituophis_catenifer    Plestiodon_gilberti    Podarcis_muralis    Podarcis_raffonei    Pogona_vitticeps    Protobothrops_mucrosquamatus    Ptyas_mucosa    Python_bivittatus    Salvator_merianae    Sceloporus_occidentalis    Sceloporus_tristichus    Shinisaurus_crocodilurus    Sphaerodactylus_townsendi    Sphenodon_punctatus    Thamnophis_elegans    Thermophis_baileyi    Varanus_komodoensis    Varanus_salvator    Vipera_latastei    Zootoca_vivipara
ATP5A1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5B.fasta    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5C1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5D.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5E.fasta    1    1    1    1    0    1    1    0    0    1    1    0    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    1
ATP5F1.fasta    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5G.fasta    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5J2.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP5J.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0
ATP5L.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    0    1    1    1    1    0    1    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
ATP5O.fasta    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6B.fasta    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6C.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6D.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6E.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6G.fasta    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6H.fasta    1    1    1    1    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1
ATP6L.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6M.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6S14.fasta    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1
ATP6S1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6V0A2.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
ATP6V1H.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
